Date,Ticker,Close,BBHigh,BBLow,ATR,RsiD,RsiW,RsiM,Sma20,Sma50,Sma150,SwingHigh,SwingLow,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol,RSITrend,PriceTrend,Entry,Target,StopLoss,Shares,Adx_D,Pdi_D,Mdi_D,Market_Decision,Adx_W,Pdi_W,Mdi_W
2026-03-06,ABB.ST,785.2,844.76,781.48,17.8,46.77,62.96,69.98,813.12,752.34,695.77,845.4,771,0.48,-7.05,Neutral,High,Neutral,Neutral,ACCUMULATE (BUY DIP),Mixed,789.33,842.73,753.73,5,47.29,7.14,42.33,ACCUMULATE,48.3,31.77,20.73
2026-03-06,AZN.ST,1783.5,1935.68,1735.22,37.93,45.62,58.62,58.02,1835.45,1755.02,1633.18,1915,1679.5,2.78,-7.86,High,High,Neutral,Neutral,ACCUMULATE (BUY DIP),Mixed,1817.83,1931.62,1741.98,2,33.08,7.15,37.13,ACCUMULATE,39.62,28.74,18.24
2026-03-06,INVE-B.ST,356.1,376.36,354.67,7.2,45.72,62.04,69.84,365.51,350.27,319.1,378.55,353.2,0.4,-5.38,High,High,Neutral,Neutral,ACCUMULATE (BUY DIP),Mixed,361.88,383.47,347.49,13,42.87,15.85,39.48,SELL,54.19,30.94,20.61
2026-03-06,LUG.ST,771.5,853.34,647.56,43.18,51.86,57.01,72.6,750.45,758.24,685.35,916.5,674,19.14,-9.59,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,773.17,902.7,686.81,2,34.26,25.08,32.25,SELL,36.23,35.45,11.12
2026-03-06,LUMI.ST,238.6,300.97,201.73,17.17,46.15,63.09,71,251.35,231.6,170.52,301.8,214.2,18.27,-20.72,Neutral,High,Neutral,Neutral,ACCUMULATE (BUY DIP),Mixed,246.87,298.38,212.52,5,36.35,14.44,47.54,ACCUMULATE,46.73,32.48,16.6
2026-03-06,NDA-SE.ST,166.45,182.42,167.43,3.65,35.61,50.59,68.44,174.93,175.61,162.91,180.35,164.65,-0.58,-8.76,High,High,Neutral,Neutral,WAIT FOR SETUP,Mixed,169.12,180.08,161.81,27,48.2,10.17,47.29,ACCUMULATE,46.82,7.43,28.43
2026-03-06,SAAB-B.ST,653.3,676.61,621.09,26.59,50.78,60.78,74.7,648.85,651.93,561.33,710,608.7,5.19,-3.45,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,648.07,727.82,594.9,3,33.61,20.74,11.94,SELL,30.39,31.35,14.43
2026-03-06,SEB-A.ST,183.8,199.83,183.48,3.63,35.67,46.87,63.86,191.66,195.24,186.16,198.65,182.25,0.17,-8.02,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,185.27,196.14,178.02,27,51.19,7.61,34.87,SELL,34.7,7.37,30.89
2026-03-06,SHB-B.ST,232.4,246.96,231.9,5.8,43.75,55.49,70.24,239.43,236.35,218.3,247.6,227.2,0.22,-5.9,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,234.6,252,223,17,38.38,10.01,32.92,ACCUMULATE,57.8,16.49,18.71
2026-03-06,SWED-A.ST,332.3,358.75,333.25,7.49,39.26,59.97,73.84,346,341.1,303.28,357.7,327.9,-0.29,-7.37,Neutral,High,Neutral,Neutral,WAIT FOR SETUP,Mixed,335.47,357.92,320.5,13,42.1,8.95,39.29,ACCUMULATE,65.9,18.27,25.17
2026-03-06,VOLV-B.ST,329.2,357.19,332.04,6.92,42,61.1,62.78,344.62,325.99,292.87,354,326,-0.86,-7.84,High,High,Neutral,Neutral,ACCUMULATE (BUY DIP),Mixed,334.03,354.8,320.19,14,58.38,4.65,43.64,ACCUMULATE,61.36,26.48,30.36
