Date,Ticker,Close,BBHigh,BBLow,ATR,RsiD,RsiW,RsiM,Sma20,Sma50,Sma150,SwingHigh,SwingLow,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol,RSITrend,PriceTrend,Entry,Target,StopLoss,Shares,Adx_D,Pdi_D,Mdi_D,Market_Decision,Adx_W,Pdi_W,Mdi_W
2026-04-23,ABB.ST,922.4,926.81,719.23,22.84,75.34,74.13,74.39,823.02,811.28,731.53,928,734.8,28.25,-0.48,High,High,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,915.2,983.73,869.51,4,70.87,47.98,2.51,SELL,41.41,45.03,10.34
2026-04-23,AZN.ST,1805.5,1931.52,1755.63,34.14,44.7,55.49,59.15,1843.58,1827.34,1701.55,1925.5,1726,2.84,-6.52,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,1802.17,1904.6,1733.88,2,34.89,11.62,36.91,ACCUMULATE,21.34,20.52,31.76
2026-04-23,INVE-B.ST,381,393.8,340.82,7.25,63.76,66.01,74.3,367.31,362.38,334.18,387.05,342.4,11.79,-3.25,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,381.73,403.48,367.23,13,58.05,31.72,6.7,,34.65,31.85,13.59
2026-04-23,LUG.ST,700.8,806.11,659.42,29.17,43.17,49.63,66.2,732.76,737.96,719.96,790.4,646,6.28,-13.06,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,709.4,796.91,651.06,3,35.93,15.19,42.24,ACCUMULATE,19.46,22.74,25.15
2026-04-23,LUMI.ST,258.7,287.06,208.68,10.62,55.23,61.4,71.04,247.87,245.35,198.83,283.8,211.2,23.97,-9.88,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,256.97,288.83,235.72,9,37.96,19.19,24.69,SELL,28.77,31.82,16.83
2026-04-23,NDA-SE.ST,170.4,179.93,154.63,3.16,51.7,53.39,66.89,167.28,170.16,167.14,175.95,153.85,10.2,-5.29,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,171.72,181.2,165.4,31,22.4,24.06,21.99,SELL,35.71,19.73,19.33
2026-04-23,SAAB-B.ST,590.7,657.21,565.18,24.36,42.22,48.96,66.39,611.19,638.76,585.16,663.8,543.5,4.52,-10.12,High,High,Neutral,Neutral,WAIT FOR SETUP,Mixed,582.53,655.63,533.8,4,49.81,18.77,23.35,SELL,28.7,9.03,30.06
2026-04-23,SEB-A.ST,180.35,189.28,168.41,3.49,47.11,46.74,59.53,178.84,184.32,186.95,187,168.2,7.09,-4.72,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,180.82,191.3,173.83,28,20.51,16.61,31.46,SELL,38.79,16.05,19.09
2026-04-23,SHB-B.ST,221.4,235.1,205.26,4.33,46.18,49.44,62.95,220.18,229.16,223.45,229.6,200,7.86,-5.83,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,223.6,236.59,214.94,23,14.06,22.72,27.29,SELL,39.59,14.4,20.89
2026-04-23,SWED-A.ST,323.4,343.29,304.42,5.86,43.98,52.69,68.65,323.86,333.84,315.7,339.2,299.2,6.23,-5.79,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,325.8,343.39,314.07,17,21.72,16.84,32.56,SELL,47.08,14.47,27.29
2026-04-23,VOLV-B.ST,318.2,334.55,296.33,9.01,49.53,53.46,58.42,315.44,325.84,299.41,332.6,296.3,7.38,-4.89,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,317.37,344.39,299.35,11,21.13,25.54,25.56,SELL,29.43,20.31,21.84
