Date,Ticker,Close,BBHigh,BBLow,ATR,RsiD,RsiW,RsiM,Sma20,Sma50,Sma150,SwingHigh,SwingLow,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol,RSITrend,PriceTrend,Entry,Target,StopLoss,Shares,Adx_D,Pdi_D,Mdi_D,Market_Decision,Adx_W,Pdi_W,Mdi_W
2026-06-12,ABB.ST,964.8,1025.84,940.38,24.59,49.89,71.03,74.37,983.11,926.52,795.57,1022.5,939.8,2.6,-5.95,Neutral,Neutral,Neutral,Neutral,ACCUMULATE (BUY DIP),Mixed,976.07,1049.85,926.88,4,22.05,25.71,20.41,SELL,46.61,26.74,21.07
2026-06-12,AZN.ST,1694,1786.84,1660.61,38.64,43.1,47.12,54.51,1723.72,1764.06,1743.83,1775.5,1601.5,2.01,-5.2,Neutral,High,High,High,WAIT FOR SETUP,Mixed,1721.5,1837.43,1644.21,2,22.02,16.92,28.08,SELL,41.63,8,30.06
2026-06-12,INVE-B.ST,379.1,388.06,368.84,5.88,53.72,62.17,74.44,378.45,374.12,350.79,387.85,358,2.78,-2.31,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Strong Uptrend,381.9,399.54,370.14,17,24.15,27.29,18.9,SELL,36.49,23.82,13.26
2026-06-12,LUG.ST,540.6,618.38,517.88,25.25,39.74,38.36,53.78,568.13,644.92,711.89,613,501.2,4.39,-12.58,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,542.4,618.15,491.9,3,30.7,27.95,38.63,SELL,49.37,6.31,40.94
2026-06-12,LUMI.ST,256.5,293.04,238.7,11.32,47.21,56.48,67.77,265.87,257.4,226.24,295.9,241.6,7.46,-12.47,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,257.13,291.1,234.49,8,40.81,25.26,34.91,SELL,29.31,30.35,25.39
2026-06-12,NDA-SE.ST,178,180.38,171.82,2.5,60.51,58.58,69.39,176.1,172.52,171.18,181.8,168.6,3.6,-1.32,Neutral,Neutral,Neutral,Neutral,STRONG BUY / HOLD,Strong Uptrend,177.57,185.07,172.57,40,30.14,32.28,19.89,SELL,32,26.14,17.23
2026-06-12,SAAB-B.ST,521.6,565.96,496.32,21.48,43.74,43.71,58.09,531.14,561.32,587.53,585,475.9,5.09,-7.84,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,538.57,603,495.61,4,21.48,21.74,11.61,,30.49,15.4,22.81
2026-06-12,SEB-A.ST,188.9,189.33,179.08,2.97,61.58,54.94,62.73,184.2,181.91,186.94,190.9,177.5,5.49,-0.23,High,High,High,High,STRONG BUY / HOLD,Mixed,188.13,197.05,182.19,33,24.49,42.23,12.99,BUY,34.81,30.35,11.96
2026-06-12,SHB-B.ST,230,232.31,219.93,3.6,60.26,54.48,64.96,226.12,222.93,226.55,233.8,216,4.58,-1,Neutral,Neutral,Neutral,Neutral,STRONG BUY / HOLD,Mixed,229.47,240.27,222.27,27,30.06,34.34,13.14,BUY,28.63,24.26,16.81
2026-06-12,SWED-A.ST,347.9,348.64,327.75,5.36,65.77,62.14,72.25,338.2,330.54,326.48,349.8,322.1,6.15,-0.21,Neutral,Neutral,Neutral,Neutral,STRONG BUY / HOLD,Strong Uptrend,346.87,362.94,336.15,18,28.97,36.47,10.06,BUY,34.38,34.3,17.14
2026-06-12,VOLV-B.ST,315.1,331.28,305.9,8.51,46.91,50.73,57.4,318.59,319.32,311.26,332.4,305.3,3.01,-4.88,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,317.57,343.09,300.55,11,28.8,24.58,27.87,SELL,18.78,17.26,23.8
