Date,Ticker,Close,BBHigh,BBLow,ATR,RsiD,RsiW,RsiM,Sma20,Sma50,Sma150,SwingHigh,SwingLow,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol,RSITrend,PriceTrend,Entry,Target,StopLoss,Shares,Adx_D,Pdi_D,Mdi_D,Market_Decision,Adx_W,Pdi_W,Mdi_W
2026-06-11,ABB.ST,966.2,1026.05,941.69,24.05,50.35,71.35,74.53,983.87,922.04,793.82,1022.5,939.8,2.6,-5.83,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,963.2,1035.35,915.1,4,24.7,22.63,24.42,SELL,46.61,26.74,21.07
2026-06-11,AZN.ST,1723.5,1786.3,1662,35.86,48.8,49.42,55.85,1724.15,1766.97,1742.87,1775.5,1601.5,3.7,-3.52,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,1724.83,1832.4,1653.12,2,21.33,23.11,26.27,SELL,41.63,8.17,30.68
2026-06-11,INVE-B.ST,375.85,389.05,366.28,5.76,49.19,60.18,72.95,377.67,373.51,350.35,387.85,358,2.61,-3.39,Neutral,Neutral,Neutral,Neutral,ACCUMULATE (BUY DIP),Mixed,376.98,394.27,365.46,17,25.65,10.96,26.06,SELL,36.49,24.62,13.71
2026-06-11,LUG.ST,530.2,622.24,520.16,25.06,36.93,37.64,53.07,571.2,647.78,712.56,638,501.2,1.93,-14.79,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,526,601.19,475.87,3,34.37,22.37,43.93,SELL,49.37,6.31,40.94
2026-06-11,LUMI.ST,248.6,293.19,239.33,11.24,42.75,54.42,65.96,266.26,256.59,225.54,295.9,241.6,3.87,-15.21,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,249.43,283.14,226.96,8,47,10.91,43.83,SELL,29.31,30.35,25.39
2026-06-11,NDA-SE.ST,174.3,180.81,170.45,2.47,50.12,55.03,66.5,175.63,172.13,171.07,181.8,168.55,2.26,-3.6,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,174.67,182.09,169.72,40,31.74,16.13,27.29,SELL,32,28.33,18.68
2026-06-11,SAAB-B.ST,536,569.58,488.59,20.41,48.28,45.44,59.66,529.09,562.93,587.53,585,475.9,9.7,-5.9,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,534.33,595.58,493.5,4,19.26,22.7,15.87,SELL,30.49,15.72,23.28
2026-06-11,SEB-A.ST,183.15,188.86,178.44,2.81,50.61,49.53,59.82,183.65,181.53,186.89,190.9,177.5,2.64,-3.02,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,183.93,192.37,178.31,35,17.38,22.51,20.35,SELL,31.08,22.64,13.65
2026-06-11,SHB-B.ST,225.4,232.38,218.66,3.54,52.58,51.78,63.13,225.52,222.48,226.41,233.8,214,3.08,-3,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,224.73,235.36,217.65,28,26.41,11.72,18.27,SELL,26.53,23.27,19.98
2026-06-11,SWED-A.ST,338.8,348.22,325.56,5.16,56.63,58.4,70.07,336.89,329.89,326.08,349.8,321.1,4.07,-2.7,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,339.03,354.53,328.7,19,22.02,15.91,14.3,SELL,30.92,26.42,19.11
2026-06-11,VOLV-B.ST,310.1,331.32,306.05,8.34,42.52,48.55,56.18,318.69,319.01,310.9,332.4,305.3,1.32,-6.41,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,311.23,336.24,294.56,11,34.43,10.52,36.4,SELL,18.78,17.26,23.8
