Date,Ticker,Close,BBHigh,BBLow,ATR,RsiD,RsiW,RsiM,Sma20,Sma50,Sma150,SwingHigh,SwingLow,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol,RSITrend,PriceTrend,Entry,Target,StopLoss,Shares,Adx_D,Pdi_D,Mdi_D,Market_Decision,Adx_W,Pdi_W,Mdi_W
2026-04-17,ABB.ST,871.6,879.23,718.41,21.44,69.84,70.01,72.19,798.82,802.77,725.46,873.4,733.4,21.32,-0.87,High,High,Neutral,Neutral,WAIT FOR VOLUME,Mixed,863.33,927.66,820.45,4,51.31,49.57,8.73,BUY,35.56,34.88,13.65
2026-04-17,AZN.ST,1848,1949.33,1702.47,37.71,53.78,59.51,61.35,1825.9,1818.98,1692.69,1925.5,1692.5,8.55,-5.2,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Strong Uptrend,1846.83,1959.98,1771.4,2,26.21,23.67,22.84,SELL,21.3,26.07,25.05
2026-04-17,INVE-B.ST,382.95,387.4,330.19,7.74,68.47,67.92,74.58,358.79,360.76,331.59,383.9,326.35,15.98,-1.15,High,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Mixed,380.73,403.96,365.25,12,45.68,46.35,11.65,BUY,32.82,32.56,15.42
2026-04-17,LUG.ST,772.4,811.39,625.5,30.1,56.36,55.97,69.83,718.45,734.51,716.86,790.4,596,23.48,-4.81,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Mixed,766.07,856.37,705.87,3,33.26,27.83,15.24,SELL,23.07,28.23,18.28
2026-04-17,LUMI.ST,277.6,284.74,191.53,10.62,66.71,67.14,72.84,238.13,242.29,194.88,283.8,191.5,44.94,-2.51,High,High,Neutral,Neutral,WAIT FOR VOLUME,Mixed,278.47,310.33,257.22,9,69.06,44.52,3.39,SELL,28.26,38.38,15.43
2026-04-17,NDA-SE.ST,172.3,178.39,154.13,3.49,56.03,55.14,67.66,166.26,170.68,166.57,175.95,153.85,11.79,-3.41,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Mixed,172.48,182.94,165.51,28,37.51,27.77,32.43,SELL,44.37,22.27,21.81
2026-04-17,SAAB-B.ST,602.4,665.14,585.43,27.31,41.07,50.45,67.87,625.28,644.87,583.93,697,577,2.9,-9.43,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,601.57,683.51,546.94,3,42.2,6.71,24.84,SELL,22.09,11.21,16.37
2026-04-17,SEB-A.ST,185.6,188.56,168.14,4.05,56.32,51.09,61.64,178.35,185.43,186.91,187,168.2,10.38,-1.57,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Mixed,184.97,197.12,176.87,24,28.11,23.59,19.58,SELL,46.32,18.17,21.62
2026-04-17,SHB-B.ST,226,234.96,205.04,5.06,51.64,51.98,63.98,220,230.55,222.74,230.4,200,10.22,-3.81,Neutral,Neutral,Neutral,Neutral,STAY IN CASH,Mixed,226.4,241.57,216.29,19,17.85,26.25,27.61,SELL,44.9,16.3,23.28
2026-04-17,SWED-A.ST,330.4,344.28,304.46,7.14,50.76,56.57,69.87,324.37,335.99,314.27,340.4,299.2,8.52,-4.03,Neutral,Neutral,Neutral,Neutral,STAY IN CASH,Mixed,331.97,353.4,317.68,13,33.93,26.91,23.97,SELL,51.18,16.2,23.67
2026-04-17,VOLV-B.ST,326.3,334.58,286.2,9.31,55.12,57.05,59.74,310.39,327.78,298.16,332.6,276.5,14.01,-2.48,High,High,Neutral,Neutral,STAY IN CASH,Mixed,323.13,351.08,304.5,10,23.33,38.17,22.89,BUY,35.88,24.06,25.87
