Date,Ticker,Close,BBHigh,BBLow,ATR,RsiD,RsiW,RsiM,Sma20,Sma50,Sma150,SwingHigh,SwingLow,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol,RSITrend,PriceTrend,Entry,Target,StopLoss,Shares,Adx_D,Pdi_D,Mdi_D,Market_Decision,Adx_W,Pdi_W,Mdi_W
2026-03-23,ABB.ST,777.8,844.4,755.92,25.4,46.08,59.84,68.91,800.16,773.88,706.99,845.4,733.4,2.89,-7.89,High,High,Neutral,Neutral,ACCUMULATE (BUY DIP),Mixed,766.07,842.27,715.27,3,27.74,13.42,42.87,ACCUMULATE,34.65,14.29,28.93
2026-03-23,AZN.ST,1724.5,1896.66,1714.29,38.29,35.97,53.03,55.47,1805.47,1767.3,1657.23,1904,1692.5,0.6,-9.08,High,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,1724.67,1839.52,1648.1,2,50.09,5.54,43.24,ACCUMULATE,27.11,16.79,27.99
2026-03-23,INVE-B.ST,342.95,379.61,336.35,9.53,39.59,54.34,64.57,357.98,354.41,323.73,378.55,326.35,1.96,-9.66,High,High,Neutral,Neutral,WAIT FOR SETUP,Mixed,338.85,367.44,319.79,10,45.84,7.21,46.78,ACCUMULATE,41.74,13.59,33.63
2026-03-23,LUG.ST,670.5,867.35,652.55,44.61,39.17,48.22,63.67,759.95,747.92,700.41,916.5,596,2.75,-22.7,High,High,High,High,WAIT FOR SETUP,Mixed,648.83,782.65,559.62,2,54.54,4.39,44.54,ACCUMULATE,28.52,18.54,29.4
2026-03-23,LUMI.ST,221.2,302.62,195.42,15.85,43.67,56.27,66.5,249.02,237.49,179.65,301.8,191.5,13.19,-26.91,High,High,Neutral,Neutral,WAIT FOR SETUP,Mixed,212.27,259.82,180.57,6,52.45,5.39,44.41,SELL,31.34,16.89,27.33
2026-03-23,NDA-SE.ST,169.45,177.99,163.57,4.34,46.24,53.1,71.41,170.78,174.5,164.55,179.35,161.25,3.6,-4.8,High,High,Neutral,High,WAIT FOR SETUP,Mixed,167.4,180.43,158.71,23,31.88,8.8,36.46,ACCUMULATE,55.37,5.12,27.89
2026-03-23,SAAB-B.ST,651.3,701.08,627.09,30.32,46.62,57.97,74.4,664.09,672.26,572.96,710,619.8,3.86,-7.1,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,643.03,734,582.39,3,36.43,12.28,41.64,ACCUMULATE,28.03,18.39,16.17
2026-03-23,SEB-A.ST,181.2,195.79,176.83,4.51,39.93,45.45,61.92,186.31,192.57,186.78,196.9,173.25,2.47,-7.45,High,High,Neutral,Neutral,WAIT FOR SETUP,Mixed,179.32,192.86,170.29,22,38.18,8.21,41.86,ACCUMULATE,53.78,3.65,31.99
2026-03-23,SHB-B.ST,225.2,245.03,221.97,6.81,41.43,50.91,66.7,233.5,236.33,220.76,244.2,213.2,1.45,-8.09,High,High,High,High,WAIT FOR SETUP,Mixed,222.07,242.51,208.44,14,42.1,7.01,44.25,ACCUMULATE,48.67,7.95,27.52
2026-03-23,SWED-A.ST,334.3,351.14,325.19,9.19,46.09,60.09,74.72,338.17,343.87,308.24,353.1,319.1,2.8,-4.8,High,High,Neutral,Neutral,WAIT FOR SETUP,Mixed,330.3,357.88,311.91,10,34.3,9.41,36.74,ACCUMULATE,52,8.77,26.37
2026-03-23,VOLV-B.ST,300.7,364.82,291.98,11.06,35.57,48.19,55.89,328.4,329.68,295.25,353.9,276.5,2.99,-17.58,High,High,Neutral,Neutral,WAIT FOR SETUP,Mixed,292.97,326.14,270.85,9,68.02,2.89,54.91,SELL,57.43,10.04,48.73
