Date,Ticker,Close,BBHigh,BBLow,ATR,RsiD,RsiW,RsiM,Sma20,Sma50,Sma150,SwingHigh,SwingLow,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol,RSITrend,PriceTrend,Entry,Target,StopLoss,Shares,Adx_D,Pdi_D,Mdi_D,Market_Decision,Adx_W,Pdi_W,Mdi_W
2026-04-24,ABB.ST,911.8,938.04,719.98,22.9,71.75,73.36,73.96,829.01,813.45,733.23,928,734.8,26.64,-2.8,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,912.27,980.97,866.47,4,74.7,40.16,2.1,SELL,41.41,45.03,10.34
2026-04-24,AZN.ST,1750,1933.01,1752.99,36.96,35.88,51.12,56.5,1843,1826.58,1703.64,1925.5,1726,-0.17,-9.47,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,1775.33,1886.23,1701.4,2,41.77,7.96,43.92,ACCUMULATE,23.57,18.89,37.19
2026-04-24,INVE-B.ST,374.35,393.83,343.14,7.17,56,62.6,73.31,368.49,362.58,334.79,387.05,342.4,9.1,-4.95,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,376.62,398.14,362.27,13,47.55,24.09,26.92,SELL,34.65,29.94,12.78
2026-04-24,LUG.ST,691.6,805.1,661.51,27.46,41.72,48.92,65.39,733.3,737.26,720.72,790.4,646,4.55,-14.1,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,692.93,775.3,638.02,3,39.74,13.57,46.74,ACCUMULATE,20.44,22.17,27.05
2026-04-24,LUMI.ST,253.1,286.9,211.58,10.41,51.91,59.84,70.47,249.24,245.8,199.76,283.8,211.2,19.63,-11.78,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Strong Uptrend,253.73,284.95,232.92,9,32.87,16.27,20.93,SELL,28.77,31.82,16.83
2026-04-24,NDA-SE.ST,170.35,179.62,156.39,3.14,51.56,53.35,66.87,168.01,170.04,167.28,175.95,153.85,8.93,-5.16,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,170.43,179.86,164.15,31,19.3,20.72,23.79,SELL,35.84,19.4,20.08
2026-04-24,SAAB-B.ST,568.3,656.27,559.03,24.63,36.85,46.24,63.73,607.65,637.17,585.47,663.8,543.5,1.66,-13.4,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,584.87,658.75,535.61,4,42.03,14.93,18.58,SELL,28.7,9.03,30.06
2026-04-24,SEB-A.ST,179.4,189.1,169.34,3.49,45.43,46.02,59.13,179.22,184.04,186.94,187,168.2,5.94,-5.13,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,179.65,190.13,172.66,28,25.94,13.59,38.33,SELL,40.03,15.4,20.79
2026-04-24,SHB-B.ST,219.4,234.45,205.15,4.34,43.92,48.35,62.48,219.8,228.7,223.59,229.6,200,6.95,-6.42,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,219.53,232.56,210.85,23,19.48,18.11,42.04,ACCUMULATE,42.17,13.51,25.79
2026-04-24,SWED-A.ST,321.2,342.02,307.35,5.82,41.97,51.58,68.24,324.69,333.21,316.02,339.2,301.2,4.51,-6.09,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,322.03,339.5,310.39,17,27.52,13.78,42.15,ACCUMULATE,48.6,13.76,30.85
2026-04-24,VOLV-B.ST,321.5,334.76,297.79,9.02,51.91,54.77,58.97,316.27,325.28,299.71,332.6,296.3,7.96,-3.96,Neutral,Neutral,Neutral,Neutral,STAY IN CASH,Mixed,324.13,351.2,306.09,11,23.43,38.47,19.54,BUY,29.43,20.31,21.84
