Date,Ticker,Close,BBHigh,BBLow,ATR,RsiD,RsiW,RsiM,Sma20,Sma50,Sma150,SwingHigh,SwingLow,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol,RSITrend,PriceTrend,Entry,Target,StopLoss,Shares,Adx_D,Pdi_D,Mdi_D,Market_Decision,Adx_W,Pdi_W,Mdi_W
2026-06-02,ABB.ST,1007.5,1014.05,947.98,22.33,66.06,78.34,77.87,981.01,892.62,780.58,1011,926,6.28,-0.65,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,1005,1071.99,960.34,4,22.5,22.27,13.19,BUY,54.26,30.56,9.6
2026-06-02,AZN.ST,1674,1779.4,1659.1,30.36,35.36,45.66,53.57,1719.25,1771.67,1735.79,1775.5,1657,0.9,-5.92,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,1677.67,1768.74,1616.95,3,45.68,8.96,52.5,ACCUMULATE,34.24,11.55,27.87
2026-06-02,INVE-B.ST,382.15,388.5,361.2,6.05,58.31,63.69,75.44,374.85,368.52,347.38,387.85,358,5.8,-1.64,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,383.15,401.29,371.06,16,24.89,29.38,15.29,BUY,38.49,29.26,8.99
2026-06-02,LUG.ST,607.4,657.05,555.97,21.7,45.84,43.6,58.66,606.51,665.6,717.3,681.4,556,9.25,-7.56,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,608,673.1,564.6,4,34.42,31.34,19.69,SELL,43.25,8.25,31.28
2026-06-02,LUMI.ST,287.1,289.09,235.97,10.66,64.81,64.37,74.27,262.53,249.5,219.96,290.3,228.8,21.67,-0.69,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Strong Uptrend,287.47,319.44,266.15,9,37.49,45.77,13.06,BUY,33.62,35.22,10.71
2026-06-02,NDA-SE.ST,176.9,181.95,165.91,2.59,57.9,57.88,68.77,173.93,170.32,170.42,181.8,167.5,6.63,-2.78,Neutral,Neutral,Neutral,Neutral,WAIT FOR VOLUME,Mixed,176.9,184.67,171.72,38,37.18,19.27,31.35,SELL,36.79,33.55,14.68
2026-06-02,SAAB-B.ST,527.4,590.97,477.81,21.94,43.45,44.33,58.71,534.39,577.84,586.68,590.4,475.9,10.38,-10.76,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,539.37,605.18,495.49,4,35.83,23.13,39.36,SELL,32.32,17.83,23.98
2026-06-02,SEB-A.ST,182.6,189.09,176.6,2.99,49.33,49.18,59.46,182.85,180.52,186.83,190.9,177.5,3.4,-3.43,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,182.78,191.76,176.8,33,31.79,15.06,28.8,SELL,34.61,27.16,13.21
2026-06-02,SHB-B.ST,226.8,234.77,211.57,4.01,53.69,52.68,63.72,223.17,221.7,225.81,233.8,213,7.2,-3.39,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Mixed,227.2,239.24,219.17,24,26.94,18.82,21.82,SELL,33.58,27.03,17.02
2026-06-02,SWED-A.ST,337.4,350.38,315.44,5.52,54.91,57.92,69.49,332.91,327.67,323.93,349.8,318.5,6.96,-3.71,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Strong Uptrend,339.53,356.1,328.49,18,32.18,17.27,23.53,SELL,36.53,32.41,19.23
2026-06-02,VOLV-B.ST,321.6,330.67,308.91,7.24,52.01,53.87,59.07,319.79,315.91,308.11,334.9,307.9,4.11,-2.74,Neutral,Neutral,Neutral,Neutral,WAIT FOR SETUP,Strong Uptrend,322.33,344.06,307.85,13,30.08,21.62,19.81,SELL,19.48,24.66,19.36
