Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-07-17,ABB.ST,926.4,1076.64,959.9,1023.69,32.01,36.2,54.02,67.01,1058.5,915,1018.27,996.86,848.51
2026-07-17,AZN.ST,1635.5,1935.77,1578.13,1792.14,62.14,38.89,43.99,51.09,1895.5,1590,1756.95,1731.38,1753.66
2026-07-17,INVE-B.ST,392,405.36,386.76,385.78,5.91,50.17,62.19,73.83,407.65,386.75,396.06,384.65,362.71
2026-07-17,LUG.ST,513,568.06,501.6,575.85,20.19,41.42,38.11,52.17,597,503,534.83,565.61,680.88
2026-07-17,LUMI.ST,224.8,252.88,216.95,252.1,9.41,41.25,47.52,60.99,267.6,215.9,234.91,252.78,237.1
2026-07-17,NDA-SE.ST,187.6,190.08,178.71,181.24,2.74,62.24,64.92,72.74,189.8,178.2,184.39,178.73,174.28
2026-07-17,SAAB-B.ST,536,600.44,461.75,588,25.51,49.86,47.13,58.95,630,480.9,531.1,529.22,591.89
2026-07-17,SEB-A.ST,216.2,211.32,184.23,203.08,3.63,81.41,71.39,71.43,216.7,189.2,197.77,189.62,189.06
2026-07-17,SHB-B.ST,226.4,240.58,228.38,239.64,4.33,39.84,50.17,62,241.2,222,234.48,228.46,229.5
2026-07-17,SWED-A.ST,360.5,370.87,352.81,353.33,6.01,53.62,64.48,73.31,370.6,350.1,361.84,346.23,336.6
2026-07-17,VOLV-B.ST,336.7,345.73,316.1,319.83,7.31,57.85,59.71,62.05,350.6,314.2,330.92,324.18,320.33
