Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-03-31,ABB.ST,749.8,0.8,-8.23,Neutral,Neutral,Neutral,Neutral
2026-03-31,AZN.ST,1857.5,8.75,-0.05,Neutral,Neutral,Neutral,Neutral
2026-03-31,INVE-B.ST,354.35,5.36,-3.11,Neutral,Neutral,Neutral,Neutral
2026-03-31,LUG.ST,712,14.55,-12.73,Neutral,Neutral,Neutral,Neutral
2026-03-31,LUMI.ST,223.2,12.37,-14.06,Neutral,Neutral,Neutral,Neutral
2026-03-31,NDA-SE.ST,161.9,4.23,-8.15,Neutral,Neutral,Neutral,Neutral
2026-03-31,SAAB-B.ST,613.4,3.78,-14.19,Neutral,Neutral,Neutral,Neutral
2026-03-31,SEB-A.ST,172.5,2.36,-10.23,Neutral,Neutral,Neutral,Neutral
2026-03-31,SHB-B.ST,210.4,2.9,-14.65,Neutral,Neutral,Neutral,Neutral
2026-03-31,SWED-A.ST,320.4,4.77,-8.65,Neutral,Neutral,Neutral,Neutral
2026-03-31,VOLV-B.ST,305,7.76,-11.87,Neutral,Neutral,Neutral,Neutral
