Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-04-10,ABB.ST,842.6,836.65,732.25,770.1,25.26,64.87,67.22,70.75,847,733.4,784.45,794.9,718.64
2026-04-10,AZN.ST,1903,1932.65,1684.95,1795.43,40.18,67.09,64.78,63.26,1925.5,1692.5,1808.8,1801.88,1682.12
2026-04-10,INVE-B.ST,373.1,372.12,333.28,346.06,9.01,63.02,65.16,73.12,375.8,326.35,352.7,357.96,328.66
2026-04-10,LUG.ST,772.6,795.49,629.06,784.5,35.34,58.07,56.37,69.83,780.4,596,712.27,729.43,712.63
2026-04-10,LUMI.ST,259.7,260.3,198.81,219.46,11.99,60.93,64.15,71.15,261,191.5,229.55,238.3,189.6
2026-04-10,NDA-SE.ST,170.9,175.79,155.07,158.03,4.54,56.33,54.16,67.09,173,153.85,165.43,170.9,165.71
2026-04-10,SAAB-B.ST,604,707.57,581.01,677.42,30.74,40.93,50.71,68.08,704.4,577,644.29,651.59,580.73
2026-04-10,SEB-A.ST,181.35,188.27,168.28,184.03,5,51.21,47.46,59.95,188.4,168.2,178.28,186.44,186.62
2026-04-10,SHB-B.ST,223.8,238.31,203.83,227.54,8.01,50.21,50.84,63.5,236.4,200,221.07,231.52,221.73
2026-04-10,SWED-A.ST,328.9,344.61,304.25,334.49,10.04,51.45,55.96,69.62,343.4,299.2,324.43,337.76,312.01
2026-04-10,VOLV-B.ST,325.8,336.09,285.24,297.72,10.67,55.27,56.9,59.66,334.7,276.5,310.66,329.03,296.65
