Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-06-02,ABB.ST,1019,7.67,0.22,Neutral,Neutral,Neutral,Neutral
2026-06-02,AZN.ST,1658.5,0.17,-6.89,Neutral,Neutral,Neutral,Neutral
2026-06-02,INVE-B.ST,382.6,5.93,-1.54,Neutral,Neutral,Neutral,Neutral
2026-06-02,LUG.ST,593.6,6.96,-9.6,Neutral,Neutral,Neutral,Neutral
2026-06-02,LUMI.ST,294.3,25.31,1.16,Neutral,Neutral,Neutral,Neutral
2026-06-02,NDA-SE.ST,175.45,5.75,-3.49,Neutral,Neutral,Neutral,Neutral
2026-06-02,SAAB-B.ST,524.9,9.9,-11.17,Neutral,Neutral,Neutral,Neutral
2026-06-02,SEB-A.ST,182.3,3.24,-3.58,Neutral,Neutral,Neutral,Neutral
2026-06-02,SHB-B.ST,225,6.35,-4.09,Neutral,Neutral,Neutral,Neutral
2026-06-02,SWED-A.ST,334.5,6.06,-4.47,Neutral,Neutral,Neutral,Neutral
2026-06-02,VOLV-B.ST,327.2,5.98,-1.27,Neutral,Neutral,Neutral,Neutral
