Date,Ticker,entry,target,stopLoss,shares,AdxD,PdiD,MdiD,adxAndDmiSigmal,RSITrend,PriceTrend
2026-05-27,ABB.ST,1005.87,1070.82,962.57,4,32.52,25.65,15.6,SELL,WAIT FOR VOLUME,Strong Uptrend
2026-05-27,AZN.ST,1741.5,1847.46,1670.86,2,23.93,13.4,26.46,SELL,WAIT FOR SETUP,Mixed
2026-05-27,INVE-B.ST,384.47,403.23,371.96,15,38.62,35.7,12.95,,WAIT FOR VOLUME,Strong Uptrend
2026-05-27,LUG.ST,589.07,661.41,540.84,4,46.27,11.86,28.63,SELL,WAIT FOR SETUP,Mixed
2026-05-27,LUMI.ST,262.53,296.26,240.05,8,26.3,26.03,14.86,,WAIT FOR SETUP,Strong Uptrend
2026-05-27,NDA-SE.ST,179.4,187.41,174.06,37,59.79,41.14,8.6,,WAIT FOR VOLUME,Mixed
2026-05-27,SAAB-B.ST,541.33,600.64,501.8,5,31.37,30.19,14.33,,WAIT FOR SETUP,Mixed
2026-05-27,SEB-A.ST,186.68,195.53,180.78,33,48.67,32.15,12.81,SELL,WAIT FOR VOLUME,Mixed
2026-05-27,SHB-B.ST,229.27,241.27,221.27,25,51.84,32.45,13.73,SELL,WAIT FOR VOLUME,Mixed
2026-05-27,SWED-A.ST,343.6,358.9,333.4,19,61.01,41.89,10.22,SELL,WAIT FOR VOLUME,Strong Uptrend
2026-05-27,VOLV-B.ST,325.4,344.62,312.59,15,37.75,33.98,9.26,BUY,WAIT FOR VOLUME,Strong Uptrend
