Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-08-25,ABB.ST,940.2,3.23,-5.38,Neutral,Neutral,Neutral,Neutral
2026-08-25,AZN.ST,1599.5,11.61,-4.49,Neutral,Neutral,Neutral,Neutral
2026-08-25,INVE-B.ST,415.7,2.98,-2.53,Neutral,Neutral,Neutral,Neutral
2026-08-25,LUG.ST,717.4,42.29,0.98,Neutral,Neutral,Neutral,Neutral
2026-08-25,LUMI.ST,263.2,14.54,-1.18,Neutral,Neutral,Neutral,Neutral
2026-08-25,NDA-SE.ST,193.1,2.38,-0.57,Neutral,Neutral,Neutral,Neutral
2026-08-25,SAAB-B.ST,639.9,10.27,-9.69,Neutral,Neutral,Neutral,Neutral
2026-08-25,SEB-A.ST,220.2,1.58,-2.85,Neutral,Neutral,Neutral,Neutral
2026-08-25,SHB-B.ST,230.8,1,-2.32,Neutral,Neutral,Neutral,Neutral
2026-08-25,SWED-A.ST,370,0.37,-4.95,Neutral,Neutral,Neutral,Neutral
2026-08-25,VOLV-B.ST,351.1,6.24,-6.63,Neutral,Neutral,Neutral,Neutral
