Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-07-30,ABB.ST,927,1051.28,892.21,994.02,28.69,40.3,53.59,67.58,1049,897.4,971.75,990.79,865.78
2026-07-30,AZN.ST,1633,1855.92,1521.48,1759.63,41.96,41.65,43.99,51.78,1880.5,1587,1688.7,1718.49,1751.09
2026-07-30,INVE-B.ST,407.9,410.32,388.5,390.48,6.03,63.77,68.35,79.81,411.45,387.4,399.41,391.25,368.15
2026-07-30,LUG.ST,551.2,572.97,509.25,577.43,20.51,51.36,42.36,54.45,576.2,508.4,541.11,550.18,667.88
2026-07-30,LUMI.ST,237.4,255.78,219.87,225.08,10.11,47.24,50.68,63.95,259.8,215.9,237.82,249.57,241.22
2026-07-30,NDA-SE.ST,191.55,193.83,183.59,183.22,3.3,60.52,67.82,74.4,193.75,180.55,188.71,182.74,175.73
2026-07-30,SAAB-B.ST,591.3,629.66,513.73,541.56,22.53,58.2,53.88,62.63,630,513.2,571.7,542.17,597.89
2026-07-30,SEB-A.ST,221.7,227.3,193.04,209.42,4.09,75.29,73.8,73.6,222.2,195.95,210.17,196.93,190.92
2026-07-30,SHB-B.ST,230.8,240.72,222.4,238.98,4.57,50.53,53.25,63.92,241.2,222,231.56,230.44,229.68
2026-07-30,SWED-A.ST,378.9,377.19,358.86,359.59,6.61,65.83,70.75,77.88,380,350.1,368.02,355.18,340.81
2026-07-30,VOLV-B.ST,364.2,365.36,324.45,342.38,7.49,76.54,69.38,66.65,367.5,330.9,344.91,330.75,324.29
