Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-04-23,ABB.ST,920,926.24,719.56,836.67,22.84,75.04,73.96,74.29,928,734.8,822.9,811.23,731.52
2026-04-23,AZN.ST,1803.5,1931.59,1755.36,1795.43,34.14,44.33,55.32,59.05,1925.5,1726,1843.47,1827.3,1701.53
2026-04-23,INVE-B.ST,380.2,393.68,340.86,360.61,7.25,62.78,65.58,74.19,387.05,342.4,367.27,362.37,334.17
2026-04-23,LUG.ST,698,806.23,659.02,673.79,29.17,42.74,49.41,65.95,790.4,646,732.63,737.9,719.94
2026-04-23,LUMI.ST,257.4,286.93,208.68,240.79,10.62,54.53,61.03,70.91,283.8,211.2,247.8,245.32,198.82
2026-04-23,NDA-SE.ST,170.65,179.95,154.63,163.96,3.16,52.21,53.61,66.99,175.95,153.85,167.29,170.17,167.14
2026-04-23,SAAB-B.ST,586.3,657.42,564.53,636.47,24.36,40.81,48.4,65.85,663.8,543.5,610.97,638.67,585.13
2026-04-23,SEB-A.ST,180,189.25,168.4,172.96,3.49,46.51,46.47,59.39,187,168.2,178.83,184.32,186.94
2026-04-23,SHB-B.ST,220.6,235.05,205.23,210.89,4.34,45.29,49,62.76,229.6,200,220.14,229.14,223.45
2026-04-23,SWED-A.ST,323.2,343.28,304.41,313.7,5.86,43.8,52.58,68.61,339.2,299.2,323.85,333.84,315.7
2026-04-23,VOLV-B.ST,317.2,334.48,296.3,297.72,9.01,48.84,53.08,58.25,332.6,296.3,315.39,325.82,299.4
