Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-03-05,ABB.ST,787.6,0.98,-6.86,Neutral,Neutral,Neutral,Neutral
2026-03-05,AZN.ST,1825,5.84,-5.98,Neutral,Neutral,Neutral,Neutral
2026-03-05,INVE-B.ST,362.5,1.9,-3.57,Neutral,Neutral,Neutral,Neutral
2026-03-05,LUG.ST,771.5,20.75,-9.53,Neutral,Neutral,Neutral,Neutral
2026-03-05,LUMI.ST,248.8,25.04,-17.54,Neutral,High,Neutral,Neutral
2026-03-05,NDA-SE.ST,169.55,0.33,-6.85,Neutral,Neutral,Neutral,Neutral
2026-03-05,SAAB-B.ST,629,1.27,-7.08,High,High,Neutral,Neutral
2026-03-05,SEB-A.ST,185,0.19,-7.51,Neutral,Neutral,Neutral,Neutral
2026-03-05,SHB-B.ST,235.8,1.18,-4.43,Neutral,Neutral,Neutral,Neutral
2026-03-05,SWED-A.ST,335.6,0.04,-6.48,Neutral,Neutral,Neutral,Neutral
2026-03-05,VOLV-B.ST,335.5,0.14,-5.71,Neutral,Neutral,Neutral,Neutral
