Date,Ticker,entry,target,stopLoss,shares,AdxD,PdiD,MdiD,adxAndDmiSigmal,RSITrend,PriceTrend
2026-06-12,ABB.ST,977.53,1049.98,929.23,4,22.05,27.03,21.46,SELL,WAIT FOR SETUP,Mixed
2026-06-12,AZN.ST,1731.33,1841.15,1658.12,2,17.37,21.67,22.36,SELL,WAIT FOR SETUP,Mixed
2026-06-12,INVE-B.ST,382.88,400.52,371.13,17,24.15,27.29,18.9,SELL,WAIT FOR VOLUME,Strong Uptrend
2026-06-12,LUG.ST,541.93,617.51,491.55,3,30.7,28.14,38.89,SELL,WAIT FOR SETUP,Mixed
2026-06-12,LUMI.ST,256.43,289.78,234.2,8,43.02,21.14,36.84,SELL,WAIT FOR SETUP,Mixed
2026-06-12,NDA-SE.ST,177.53,185.03,172.53,40,30.14,32.28,19.89,SELL,WAIT FOR VOLUME,Strong Uptrend
2026-06-12,SAAB-B.ST,542.8,605.18,501.21,4,21.48,24.02,12.82,BUY,WAIT FOR SETUP,Mixed
2026-06-12,SEB-A.ST,188.33,197.25,182.39,33,24.49,42.23,12.99,BUY,WAIT FOR VOLUME,Mixed
2026-06-12,SHB-B.ST,229.07,239.7,221.98,28,28.95,31.38,13.73,BUY,WAIT FOR VOLUME,Mixed
2026-06-12,SWED-A.ST,346.6,362.54,335.97,18,28.57,35.16,10.27,BUY,WAIT FOR VOLUME,Strong Uptrend
2026-06-12,VOLV-B.ST,318.63,344.15,301.62,11,28.8,24.58,27.87,SELL,WAIT FOR SETUP,Mixed
