Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-05-27,ABB.ST,999.6,1029.05,901.85,940.03,21.65,66.21,79.37,77.42,1011,891.4,965.45,876.88,772.79
2026-05-27,AZN.ST,1735.5,1777.34,1672.46,1788.88,35.32,46.4,50.37,56.39,1775.5,1657,1724.9,1778.37,1732.77
2026-05-27,INVE-B.ST,384.7,386.34,359.34,365.33,6.25,62.16,64.45,75.19,387.85,358,372.84,366.29,345.51
2026-05-27,LUG.ST,588.8,664.94,562.82,653.91,24.11,38.07,41.64,57.12,681.4,573.4,613.88,676.94,720.36
2026-05-27,LUMI.ST,262.3,280.78,224.75,240.84,11.24,54.1,59.86,71.26,280.1,227.7,252.76,245.58,216.29
2026-05-27,NDA-SE.ST,178.85,180.6,165.25,171.78,2.67,64.45,59.66,69.95,181.8,167.5,172.93,169.8,169.97
2026-05-27,SAAB-B.ST,541.7,595.29,479.23,554.74,19.77,46.89,45.48,60.94,590.4,475.9,537.26,588.93,584.69
2026-05-27,SEB-A.ST,186.55,188.75,175.52,179.57,2.95,58.42,52.83,61.54,190.9,176.9,182.14,180.62,186.77
2026-05-27,SHB-B.ST,228.6,233.26,211.28,219.38,4,58.18,53.93,64.25,233.8,213,222.27,222.06,225.5
2026-05-27,SWED-A.ST,342.8,347.73,311.6,329.61,5.1,63.85,61.35,71.57,349.8,311.5,329.67,327.47,322.53
2026-05-27,VOLV-B.ST,327.6,330.08,308.28,306.4,6.41,58.64,56.57,59.77,334.9,307.9,319.18,315.79,306.42
