Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-03-09,ABB.ST,766.6,-1.04,-9.67,High,High,High,High
2026-03-09,AZN.ST,1776,1.22,-7.67,Neutral,High,Neutral,Neutral
2026-03-09,INVE-B.ST,351.6,-0.25,-6.82,Neutral,High,Neutral,Neutral
2026-03-09,LUG.ST,758.5,16.12,-11.14,Neutral,Neutral,Neutral,Neutral
2026-03-09,LUMI.ST,224.4,11.49,-25.48,Neutral,Neutral,Neutral,Neutral
2026-03-09,NDA-SE.ST,166.8,0.32,-8.53,Neutral,High,Neutral,Neutral
2026-03-09,SAAB-B.ST,669.5,7.77,-1.01,Neutral,Neutral,Neutral,Neutral
2026-03-09,SEB-A.ST,184,0.81,-7.79,Neutral,Neutral,Neutral,Neutral
2026-03-09,SHB-B.ST,232.2,0.57,-5.99,Neutral,Neutral,Neutral,Neutral
2026-03-09,SWED-A.ST,334.5,0.71,-6.48,High,High,Neutral,Neutral
2026-03-09,VOLV-B.ST,323.1,-1.48,-10.08,Neutral,Neutral,Neutral,Neutral
