Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-08-07,ABB.ST,956.8,6.32,-5.35,Neutral,Neutral,Neutral,Neutral
2026-08-07,AZN.ST,1538,2.15,-11.17,Neutral,Neutral,Neutral,Neutral
2026-08-07,INVE-B.ST,422.45,9.99,-0.52,Neutral,Neutral,Neutral,Neutral
2026-08-07,LUG.ST,608.2,21.54,2.96,Neutral,Neutral,Neutral,Neutral
2026-08-07,LUMI.ST,256.8,14.66,-1.4,Neutral,Neutral,Neutral,Neutral
2026-08-07,NDA-SE.ST,190.85,3.41,-2.42,Neutral,Neutral,Neutral,Neutral
2026-08-07,SAAB-B.ST,647.3,27.22,-1.18,Neutral,Neutral,Neutral,Neutral
2026-08-07,SEB-A.ST,223.9,11.11,-3.26,Neutral,Neutral,Neutral,Neutral
2026-08-07,SHB-B.ST,235.6,5.43,-1.08,Neutral,Neutral,Neutral,Neutral
2026-08-07,SWED-A.ST,386.3,8.64,-0.82,Neutral,Neutral,Neutral,Neutral
2026-08-07,VOLV-B.ST,358.2,9.51,-4.95,Neutral,Neutral,Neutral,Neutral
