Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-09-15,ABB.ST,915.4,1.41,-4.76,Neutral,Neutral,Neutral,Neutral
2026-09-15,AZN.ST,1594,4.97,-0.78,Neutral,Neutral,Neutral,Neutral
2026-09-15,INVE-B.ST,397.85,-0.08,-5.24,High,High,High,High
2026-09-15,LUG.ST,634.6,3.58,-13.97,Neutral,Neutral,Neutral,Neutral
2026-09-15,LUMI.ST,222.8,-1.05,-19.33,Neutral,Neutral,Neutral,Neutral
2026-09-15,NDA-SE.ST,199,5.69,-1.62,Neutral,Neutral,Neutral,Neutral
2026-09-15,SAAB-B.ST,584.8,6.91,-15.5,Neutral,Neutral,Neutral,Neutral
2026-09-15,SEB-A.ST,227.3,4.97,-1.16,Neutral,Neutral,Neutral,Neutral
2026-09-15,SHB-B.ST,237.8,4.23,-0.43,Neutral,Neutral,Neutral,Neutral
2026-09-15,SWED-A.ST,391.4,7.15,-0.35,Neutral,Neutral,Neutral,Neutral
2026-09-15,VOLV-B.ST,330.2,-0.68,-6.71,Neutral,Neutral,Neutral,Neutral
