Date,Ticker,entry,target,stopLoss,shares,AdxD,PdiD,MdiD,adxAndDmiSigmal,RSITrend,PriceTrend
2026-06-02,ABB.ST,1013.17,1082.94,966.65,4,26.2,30.43,11.8,BUY,STRONG BUY / HOLD,Strong Uptrend
2026-06-02,AZN.ST,1672.5,1766.68,1609.71,3,46.49,8.15,56.8,ACCUMULATE,WAIT FOR SETUP,Mixed
2026-06-02,INVE-B.ST,383.3,401.44,371.21,16,24.89,29.38,15.29,BUY,WAIT FOR VOLUME,Strong Uptrend
2026-06-02,LUG.ST,603.4,668.89,559.74,4,34.42,30.84,19.38,SELL,WAIT FOR SETUP,Mixed
2026-06-02,LUMI.ST,291.2,324.03,269.31,9,38.56,49.81,12.08,BUY,WAIT FOR VOLUME,Strong Uptrend
2026-06-02,NDA-SE.ST,176.42,184.74,170.87,36,39.69,15.59,33.44,SELL,WAIT FOR SETUP,Mixed
2026-06-02,SAAB-B.ST,538.53,604.35,494.65,4,35.83,23.13,39.36,SELL,WAIT FOR SETUP,Mixed
2026-06-02,SEB-A.ST,182.68,191.9,176.54,32,33.62,13.91,32.84,ACCUMULATE,WAIT FOR SETUP,Mixed
2026-06-02,SHB-B.ST,226.6,239.03,218.31,24,27.9,17.11,21.86,SELL,WAIT FOR SETUP,Mixed
2026-06-02,SWED-A.ST,338.57,355.82,327.07,17,35.24,14.38,27.09,SELL,WAIT FOR SETUP,Strong Uptrend
2026-06-02,VOLV-B.ST,324.97,347.19,310.15,13,32.35,25.77,18.76,SELL,WAIT FOR VOLUME,Strong Uptrend
