Date,Ticker,entry,target,stopLoss,shares,AdxD,PdiD,MdiD,adxAndDmiSigmal,RSITrend,PriceTrend
2026-05-15,ABB.ST,984.2,1050.5,940,4,56.88,26.11,15.45,SELL,STRONG BUY / HOLD,Strong Uptrend
2026-05-15,AZN.ST,1731.67,1853.38,1650.52,2,33.79,17.93,25.13,SELL,WAIT FOR SETUP,Mixed
2026-05-15,INVE-B.ST,368.23,389.75,353.89,13,22.03,15.33,23.85,SELL,ACCUMULATE (BUY DIP),Mixed
2026-05-15,LUG.ST,626.47,714.07,568.07,3,34.99,16.48,36.2,ACCUMULATE,WAIT FOR SETUP,Mixed
2026-05-15,LUMI.ST,272.83,309.39,248.46,8,48.07,34.26,24,SELL,STRONG BUY / HOLD,Strong Uptrend
2026-05-15,NDA-SE.ST,170.13,178.19,164.76,37,13.55,23.83,21.23,SELL,ACCUMULATE (BUY DIP),Mixed
2026-05-15,SAAB-B.ST,495.48,557.28,454.28,4,56.26,5.33,51.46,SELL,WAIT FOR SETUP,Mixed
2026-05-15,SEB-A.ST,179.68,189.11,173.4,31,19.86,15.8,20.07,SELL,WAIT FOR SETUP,Mixed
2026-05-15,SHB-B.ST,216.73,228,209.22,26,28.63,18.09,20.97,SELL,WAIT FOR SETUP,Mixed
2026-05-15,SWED-A.ST,323.6,340.4,312.4,17,36.23,8.52,21.69,SELL,WAIT FOR SETUP,Mixed
2026-05-15,VOLV-B.ST,320.53,342.48,305.9,13,20.08,16.4,27.49,SELL,WAIT FOR SETUP,Mixed
