Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-07-01,ABB.ST,1056.5,1075.63,939.14,975.01,26.4,62.95,74.77,80.18,1058.5,940.8,1007.39,976.11,823.84
2026-07-01,AZN.ST,1825,1854.53,1620.92,1714.57,41.5,63.48,56.84,59.42,1869.5,1601.5,1737.72,1735.67,1753.37
2026-07-01,INVE-B.ST,400.5,403.49,370.67,383.8,6.21,66.8,69.7,77.52,404.85,372.9,387.08,379.79,356.9
2026-07-01,LUG.ST,514,598.75,490.78,581.61,23.53,39.17,37.32,52.24,607.4,501.2,544.76,594.56,697.75
2026-07-01,LUMI.ST,232.5,289.48,215.29,263.42,10.89,40.05,49.8,62.6,295.9,222.4,252.39,255.36,232.6
2026-07-01,NDA-SE.ST,183.2,185.63,172.16,175.12,2.74,62.28,62.87,70.93,184.95,172.35,178.9,175.34,172.75
2026-07-01,SAAB-B.ST,522.9,540.8,482.54,545.37,19.62,52.39,45.37,57.97,542.4,480.9,511.67,532.48,585.88
2026-07-01,SEB-A.ST,192.95,198.4,179.55,185.52,2.75,61.45,57.33,63.99,196,180.35,188.97,184.78,187.75
2026-07-01,SHB-B.ST,234.6,239.52,220.36,225.49,3.3,61.52,57.18,65.56,236.4,221.4,229.94,225.68,228.32
2026-07-01,SWED-A.ST,361.2,368.85,327.9,347.23,5.45,67.7,67.03,73.61,363.5,331.6,348.38,337.21,331.55
2026-07-01,VOLV-B.ST,328.8,332.95,309.24,333.61,7.61,57.28,56.83,60.54,332.4,305.3,321.1,320.27,316
