Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-08-11,ABB.ST,961.8,1006.78,903.69,994.02,22.31,49.05,57.69,69.11,1022.5,897.4,955.24,986.67,876.78
2026-08-11,AZN.ST,1535.5,1729.71,1481.34,1680.47,53.36,38.62,39.14,48.02,1699,1467,1605.53,1690.66,1743.92
2026-08-11,INVE-B.ST,422.5,429.17,383.8,407.19,5.63,72.31,72.14,81.48,426.8,387.4,406.48,396.14,372.02
2026-08-11,LUG.ST,614.8,611.33,493.03,542.67,25.49,62.84,50.1,58.12,630,508.4,552.18,550,659.72
2026-08-11,LUMI.ST,257.4,264.27,224.28,225.08,11.38,57.48,55.64,66.42,265.3,222.1,244.27,248.25,243.57
2026-08-11,NDA-SE.ST,190.45,195.42,185.27,186.08,2.75,53.57,65.95,73.38,195.4,180.55,190.34,184.39,176.53
2026-08-11,SAAB-B.ST,657.7,666.74,509.93,586.95,23.4,72.14,61.34,66.49,670.1,513.2,588.34,552.77,602.31
2026-08-11,SEB-A.ST,221.4,231.14,204.11,216.09,3.3,62.91,71.38,73.4,228,197.7,217.63,201.47,192.18
2026-08-11,SHB-B.ST,232.6,238.28,223.4,238.98,3.33,51.29,54.09,64.38,237.6,222,230.84,231.06,229.98
2026-08-11,SWED-A.ST,378.2,390.86,356.17,370.29,5.21,56.46,67.69,77.57,390.5,350.1,373.51,360.21,343.52
2026-08-11,VOLV-B.ST,352.6,376.13,328.9,346.61,7.39,53.12,62.11,63.42,374.5,332.5,352.52,335.92,327.05
