Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-09-11,ABB.ST,929.6,2.81,-4.36,Neutral,Neutral,Neutral,Neutral
2026-09-11,AZN.ST,1553.5,4.03,-3.6,Neutral,Neutral,Neutral,Neutral
2026-09-11,INVE-B.ST,403.5,0.31,-3.59,Neutral,Neutral,Neutral,Neutral
2026-09-11,LUG.ST,649.8,7.25,-12.25,Neutral,Neutral,Neutral,Neutral
2026-09-11,LUMI.ST,242.8,3.5,-10.53,Neutral,Neutral,Neutral,Neutral
2026-09-11,NDA-SE.ST,200.1,6.62,-0.65,Neutral,Neutral,Neutral,Neutral
2026-09-11,SAAB-B.ST,580.8,4.88,-18.06,Neutral,Neutral,Neutral,Neutral
2026-09-11,SEB-A.ST,227.5,5.02,-0.52,Neutral,Neutral,Neutral,Neutral
2026-09-11,SHB-B.ST,236.2,3.42,-0.71,Neutral,Neutral,Neutral,Neutral
2026-09-11,SWED-A.ST,388.6,5.96,-0.14,Neutral,Neutral,Neutral,Neutral
2026-09-11,VOLV-B.ST,339.6,1.18,-3.63,Neutral,Neutral,Neutral,Neutral
