Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-08-26,ABB.ST,941.8,988.14,920.7,994.02,18.64,44.63,54.21,68.27,990.2,897.4,954.42,979.11,899.21
2026-08-26,AZN.ST,1588,1633.45,1454.4,1621.81,31.64,50.95,44.22,50.62,1687,1467,1543.92,1651.46,1729.17
2026-08-26,INVE-B.ST,414.75,425.98,405.43,407.33,3.99,57.36,66.39,80.28,426.8,406,415.71,404.79,378.45
2026-08-26,LUG.ST,710,735.51,511.19,643.97,26.11,69.57,59.25,62.94,730,527.4,623.35,573.52,648.35
2026-08-26,LUMI.ST,264.3,269.04,232.01,237.32,8.79,61.5,56.68,67.11,269.1,231.3,250.53,243.37,246.18
2026-08-26,NDA-SE.ST,194.05,194.54,188.54,187,2.13,61.47,68.54,74.95,195.4,187.8,191.54,188.32,177.79
2026-08-26,SAAB-B.ST,641.1,706.94,588.59,625.56,19.02,53.43,56.9,65.81,702.3,583.3,647.77,587.44,601.01
2026-08-26,SEB-A.ST,222.2,226.75,216.86,216.42,2.79,59.82,70.28,73.01,228,216.2,221.8,210.74,194.05
2026-08-26,SHB-B.ST,231.4,236.31,228.51,238.98,3.04,49.6,52.83,63.73,237.6,227.6,232.41,232.5,229.74
2026-08-26,SWED-A.ST,374.1,389.86,367.44,384.99,4.8,50.5,64.38,74.81,390.5,366.2,378.65,369.8,347.15
2026-08-26,VOLV-B.ST,351.3,373.38,330.08,357.28,5.32,55.52,59.86,62.26,374.5,336.8,351.73,342.66,330.38
