Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-07-10,ABB.ST,1005,1069.5,969.12,965.9,28.34,49.44,65.79,74.79,1058.5,962.6,1019.31,992.38,840.36
2026-07-10,AZN.ST,1700.5,1916.05,1622.6,1895.68,64.18,42.17,47.59,53.7,1895.5,1656,1769.33,1738.71,1756.47
2026-07-10,INVE-B.ST,395.65,408.44,379.86,385.78,6.2,54.51,64.44,75.37,407.65,378.1,394.15,382.77,360.76
2026-07-10,LUG.ST,549.2,593.23,498.19,592.65,21.44,49.05,41.06,54.41,607.4,503,545.71,573.1,687.49
2026-07-10,LUMI.ST,236.2,272.2,210.11,252.1,10.16,46.51,50.68,63.18,280.2,215.9,241.16,252.51,235.48
2026-07-10,NDA-SE.ST,184.55,189.28,176.61,181.24,2.53,56.58,62.15,71.67,189.8,176.6,182.95,177.5,173.8
2026-07-10,SAAB-B.ST,546.7,599.15,455.94,539.97,24.94,52.16,48.41,59.71,630,480.9,527.54,532.37,590.33
2026-07-10,SEB-A.ST,199.35,201.77,187.22,192.6,2.53,64.41,62.04,66.39,201.8,187.3,194.49,187.33,188.54
2026-07-10,SHB-B.ST,234.8,239.34,229.62,230.22,3.31,54.39,56.79,65.65,241.2,227.8,234.48,227.66,229.38
2026-07-10,SWED-A.ST,364.5,372.26,345.35,353.33,4.69,60.71,67.45,74.31,370.6,342.6,358.81,342.99,335
2026-07-10,VOLV-B.ST,337.9,343.61,310.93,319.83,7.36,60.06,60.37,62.26,345,314.2,327.27,322.61,318.87
