Date,Ticker,entry,target,stopLoss,shares,AdxD,PdiD,MdiD,adxAndDmiSigmal,RSITrend,PriceTrend
2026-06-16,ABB.ST,995.1,1068.79,945.97,4,25.62,29.23,12.89,BUY,WAIT FOR VOLUME,Strong Uptrend
2026-06-16,AZN.ST,1675.5,1791.86,1597.93,2,30.99,12.12,33.55,SELL,WAIT FOR SETUP,Mixed
2026-06-16,INVE-B.ST,385.12,403.65,372.76,16,27.88,24.41,11.88,,WAIT FOR VOLUME,Strong Uptrend
2026-06-16,LUG.ST,576.6,657.36,522.76,3,30.69,45.79,24.89,SELL,WAIT FOR SETUP,Mixed
2026-06-16,LUMI.ST,268.7,304.46,244.86,8,35.29,36.96,21.95,SELL,WAIT FOR SETUP,Strong Uptrend
2026-06-16,NDA-SE.ST,180.35,187.79,175.39,40,35.69,39.52,13.87,,WAIT FOR VOLUME,Strong Uptrend
2026-06-16,SAAB-B.ST,512.47,577.82,468.9,4,26.1,10.63,26.61,SELL,WAIT FOR SETUP,Mixed
2026-06-16,SEB-A.ST,193.42,202.33,187.47,33,40.51,50.47,8.72,BUY,WAIT FOR VOLUME,Mixed
2026-06-16,SHB-B.ST,232.8,243.26,225.83,28,42.3,39.83,8.73,,WAIT FOR VOLUME,Mixed
2026-06-16,SWED-A.ST,347.93,365.01,336.55,17,43.48,34.14,6.2,,WAIT FOR VOLUME,Strong Uptrend
2026-06-16,VOLV-B.ST,320.47,346.89,302.85,11,21.19,24.6,22.66,SELL,WAIT FOR SETUP,Mixed
