Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-02-27,ABB.ST,840,9.62,-0.99,Neutral,Neutral,Neutral,Neutral
2026-02-27,AZN.ST,1871,12.82,-4.03,Neutral,Neutral,Neutral,Neutral
2026-02-27,INVE-B.ST,376.9,7.61,-0.19,Neutral,Neutral,Neutral,Neutral
2026-02-27,LUG.ST,827,31.83,1.2,Neutral,Neutral,Neutral,Neutral
2026-02-27,LUMI.ST,286.2,49.85,-2.07,Neutral,Neutral,Neutral,Neutral
2026-02-27,NDA-SE.ST,176.4,1.75,-2.37,Neutral,Neutral,Neutral,Neutral
2026-02-27,SAAB-B.ST,653.5,5.29,-4.4,Neutral,Neutral,Neutral,Neutral
2026-02-27,SEB-A.ST,194.05,2.31,-2.7,Neutral,Neutral,Neutral,Neutral
2026-02-27,SHB-B.ST,243,3.75,-1.6,Neutral,Neutral,Neutral,Neutral
2026-02-27,SWED-A.ST,349.2,2.26,-2.95,Neutral,Neutral,Neutral,Neutral
2026-02-27,VOLV-B.ST,350.3,4.24,-1.61,Neutral,Neutral,Neutral,Neutral
