Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-01-30,ABB.ST,767.4,748.29,655.19,709.16,18.2,74.25,70.5,75.95,782.4,671.6,701.74,685.43,660.87
2026-01-30,AZN.ST,1649.5,1785.87,1614.08,1743.33,37.89,42.02,53.49,55.21,1783,1622.5,1699.97,1704.24,1559.69
2026-01-30,INVE-B.ST,343.2,349.72,329.59,332.9,5.98,60.61,68.19,74.8,349.35,325.35,339.66,327.79,306.39
2026-01-30,LUG.ST,701,831.51,723.24,849.92,39.14,39.02,53.29,75.94,824.5,701,777.38,768.61,641.55
2026-01-30,LUMI.ST,229,246.69,199.6,245.21,12.43,58.33,83.01,84.28,254.2,197,223.15,196.83,146.1
2026-01-30,NDA-SE.ST,171.9,181.4,171.72,181.76,3.33,44.38,62.04,75.22,181.25,170.7,176.56,171.2,157.13
2026-01-30,SAAB-B.ST,693.3,772.14,598.14,659.71,25.33,61.57,69.9,80.62,748.8,540.1,685.14,571.83,537.5
2026-01-30,SEB-A.ST,191.35,205.97,191.85,204.22,4.05,41.86,57.72,70.33,204.5,188.35,198.91,192.03,181.91
2026-01-30,SHB-B.ST,233.8,241.44,228.1,226.02,5.23,52.22,61.89,73.3,242,227,234.77,227.11,210.89
2026-01-30,SWED-A.ST,346.7,357.45,319.4,331.15,7.51,65.64,80.02,79.96,356.1,321.1,338.43,317.39,287.47
2026-01-30,VOLV-B.ST,324,325.73,296.92,305.99,6.19,72.59,69.89,64.4,327.2,294.7,311.32,295.34,280.9
2026-02-02,ABB.ST,776,762.14,650.78,709.85,18.91,75.78,71.54,76.49,782.4,673.4,706.46,687.52,662.26
2026-02-02,AZN.ST,1716,1787.2,1614.95,1743.33,41.43,54.62,59.03,57.89,1783,1622.5,1701.08,1704.94,1562.25
2026-02-02,INVE-B.ST,348.9,349.49,332.11,332.9,6.6,66.24,70.52,76,350.1,325.35,340.8,328.39,306.83
2026-02-02,LUG.ST,687.5,839.38,710.82,798.69,41.75,37.46,51.79,74.13,824.5,632.5,775.1,767.06,642.99
2026-02-02,LUMI.ST,222.4,244.84,203.92,245.21,13.46,53.69,77.52,80.94,254.2,199.2,224.38,197.81,146.91
2026-02-02,NDA-SE.ST,177.4,181.44,171.74,181.76,3.59,54.78,66.6,77.15,181.25,170.7,176.59,171.48,157.37
2026-02-02,SAAB-B.ST,676.7,756.6,625.37,659.71,24.47,56.3,66.77,78.06,748.8,570,690.98,574.85,538.6
2026-02-02,SEB-A.ST,196.15,205.97,191.67,204.22,4.42,49.57,62.34,72.06,204.5,188.35,198.82,192.29,182.11
