Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-04-15,ABB.ST,847.8,860.55,723.55,786.46,21.17,64.92,67.75,71.02,852.8,733.4,792.05,799.53,722.74
2026-04-15,AZN.ST,1879,1948.72,1692.08,1795.43,37.54,60.02,62.48,62.5,1925.5,1692.5,1820.4,1813.57,1688.55
2026-04-15,INVE-B.ST,376.5,381.4,330.66,354.15,7.59,64.8,66.16,73.64,377.65,326.35,356.03,359.79,330.37
2026-04-15,LUG.ST,771.2,809.58,624.96,676.04,28.79,56.78,55.86,69.78,790.4,596,717.27,732.43,715.49
2026-04-15,LUMI.ST,270.4,273.93,193.29,236.84,10.07,64.66,65.99,72.18,271.7,191.5,233.61,240.52,192.71
2026-04-15,NDA-SE.ST,174.85,178.07,154.21,163.95,3.77,61.12,56.85,68.64,175.95,153.85,166.14,170.94,166.26
2026-04-15,SAAB-B.ST,617,687.88,580.65,677.42,27.7,44.38,52.29,69.82,704.4,577,634.26,647.4,582.78
2026-04-15,SEB-A.ST,185.4,188.85,168.03,172.79,4.29,56.81,50.93,61.56,188.4,168.2,178.44,185.99,186.8
2026-04-15,SHB-B.ST,228,237.15,204.17,210.36,6.69,53.91,52.98,64.41,236.4,200,220.66,231.16,222.34
2026-04-15,SWED-A.ST,337.6,346.53,303.69,313.44,8.41,57.99,59.42,71.03,343.4,299.2,325.11,337.07,313.44
2026-04-15,VOLV-B.ST,322.4,333.74,286.38,297.72,8.71,52.9,55.46,59.12,332.6,276.5,310.06,328.81,297.56
