Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-04-13,ABB.ST,835.4,14.49,-0.81,Neutral,Neutral,Neutral,Neutral
2026-04-13,AZN.ST,1879,11.42,-3.13,Neutral,Neutral,Neutral,Neutral
2026-04-13,INVE-B.ST,369.55,11.12,-1.29,Neutral,Neutral,Neutral,Neutral
2026-04-13,LUG.ST,780.6,24.75,-2.73,Neutral,Neutral,Neutral,Neutral
2026-04-13,LUMI.ST,256.3,29.62,-2.38,Neutral,Neutral,Neutral,Neutral
2026-04-13,NDA-SE.ST,171.4,10.61,-2.7,Neutral,Neutral,Neutral,Neutral
2026-04-13,SAAB-B.ST,608.8,5.09,-13.29,Neutral,Neutral,Neutral,Neutral
2026-04-13,SEB-A.ST,181.05,7.52,-3.63,Neutral,Neutral,Neutral,Neutral
2026-04-13,SHB-B.ST,223.8,9.71,-5.76,Neutral,Neutral,Neutral,Neutral
2026-04-13,SWED-A.ST,331.5,8.95,-3.81,Neutral,Neutral,Neutral,Neutral
2026-04-13,VOLV-B.ST,319.6,11.58,-4.17,Neutral,Neutral,Neutral,Neutral
