Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-07-29,ABB.ST,914.8,1.64,-13.23,Neutral,Neutral,Neutral,Neutral
2026-07-29,AZN.ST,1680.5,10.88,-10.87,Neutral,Neutral,Neutral,Neutral
2026-07-29,INVE-B.ST,408.45,5.09,-0.33,Neutral,Neutral,Neutral,Neutral
2026-07-29,LUG.ST,552.6,8.51,-3.72,Neutral,Neutral,Neutral,Neutral
2026-07-29,LUMI.ST,238.5,8.52,-6.76,Neutral,Neutral,Neutral,Neutral
2026-07-29,NDA-SE.ST,190.45,3.84,-1.55,Neutral,Neutral,Neutral,Neutral
2026-07-29,SAAB-B.ST,591.6,15.25,-5.58,Neutral,Neutral,Neutral,Neutral
2026-07-29,SEB-A.ST,218.5,14.11,-3.42,Neutral,Neutral,Neutral,Neutral
2026-07-29,SHB-B.ST,229,2.96,-5.07,Neutral,Neutral,Neutral,Neutral
2026-07-29,SWED-A.ST,372.3,3.53,-0.64,Neutral,Neutral,Neutral,Neutral
2026-07-29,VOLV-B.ST,364,12.27,0.44,Neutral,Neutral,Neutral,Neutral
