Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-07-20,ABB.ST,948.6,0.67,-11.78,Neutral,Neutral,Neutral,Neutral
2026-07-20,AZN.ST,1615,3.43,-16.83,Neutral,Neutral,Neutral,Neutral
2026-07-20,INVE-B.ST,397.55,2.49,-1.95,Neutral,Neutral,Neutral,Neutral
2026-07-20,LUG.ST,527.6,5.01,-5.86,Neutral,Neutral,Neutral,Neutral
2026-07-20,LUMI.ST,233.5,5.59,-4.49,Neutral,Neutral,Neutral,Neutral
2026-07-20,NDA-SE.ST,189,5.55,-0.98,Neutral,Neutral,Neutral,Neutral
2026-07-20,SAAB-B.ST,574.6,23.32,-5.47,Neutral,Neutral,Neutral,Neutral
2026-07-20,SEB-A.ST,212.3,15.79,-1.65,Neutral,Neutral,Neutral,Neutral
2026-07-20,SHB-B.ST,222.6,-1.13,-8.01,Neutral,Neutral,Neutral,Neutral
2026-07-20,SWED-A.ST,362.5,2.6,-2.55,Neutral,Neutral,Neutral,Neutral
2026-07-20,VOLV-B.ST,338.7,6.38,-2.49,Neutral,Neutral,Neutral,Neutral
