Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-08-05,ABB.ST,964.6,1021.72,896.95,994.02,30.01,50.22,58.21,69.59,1026,897.4,959.34,987.91,871.08
2026-08-05,AZN.ST,1492.5,1787.57,1495.23,1665.81,48.46,30.74,36.6,46.54,1857.5,1467,1641.4,1704.66,1747.87
2026-08-05,INVE-B.ST,421.25,417.8,385.07,403.61,6.55,74.14,72.32,81.33,425.15,387.4,401.43,393.33,370.02
2026-08-05,LUG.ST,569.6,572.15,507.57,577.43,22.2,55.81,45.18,55.62,576.2,508.4,539.86,547.78,663.09
2026-08-05,LUMI.ST,252.8,257.35,220.45,225.08,11.13,57.25,54.53,65.89,259.8,215.9,238.9,248.42,242.23
2026-08-05,NDA-SE.ST,191.25,195.11,183.6,184.74,3.09,57.27,66.7,73.66,193.8,180.55,189.35,183.57,176.15
2026-08-05,SAAB-B.ST,630.2,641.49,511.17,558.73,23.87,66.91,58.4,64.96,633.6,513.2,576.33,547.1,600
2026-08-05,SEB-A.ST,223.5,230.54,197.32,214.72,3.43,73.35,74.52,74,227.1,197.45,213.93,199.12,191.56
2026-08-05,SHB-B.ST,233.4,238.04,223.46,238.98,3.67,54.75,55.01,64.94,237.2,222,230.75,230.59,229.85
2026-08-05,SWED-A.ST,385.5,384.75,356.12,370.51,6.37,70.49,72.7,78.67,389.1,350.1,370.43,357.52,342.19
2026-08-05,VOLV-B.ST,367,374.03,323.82,348.42,7.88,74.86,70.21,67.06,374.5,330.9,348.93,333.76,325.75
