Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-05-18,ABB.ST,967.6,13.29,-4.42,Neutral,Neutral,Neutral,Neutral
2026-05-18,AZN.ST,1727,5.59,-6.67,Neutral,Neutral,Neutral,Neutral
2026-05-18,INVE-B.ST,367.5,2.03,-4.83,High,High,Neutral,Neutral
2026-05-18,LUG.ST,600.4,7.57,-21.31,Neutral,Neutral,Neutral,Neutral
2026-05-18,LUMI.ST,261.1,17.03,-7.23,Neutral,Neutral,Neutral,Neutral
2026-05-18,NDA-SE.ST,172.4,2.66,-0.63,High,Neutral,Neutral,Neutral
2026-05-18,SAAB-B.ST,491.5,1.21,-20.86,Neutral,Neutral,Neutral,Neutral
2026-05-18,SEB-A.ST,181.05,2.31,-1.66,High,Neutral,Neutral,Neutral
2026-05-18,SHB-B.ST,221.4,3.79,-2.53,High,Neutral,Neutral,Neutral
2026-05-18,SWED-A.ST,328.9,3.44,-0.55,High,Neutral,Neutral,Neutral
2026-05-18,VOLV-B.ST,315.4,1.15,-4.25,Neutral,Neutral,Neutral,Neutral
