Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-04-23,ABB.ST,907,25.76,-1.76,Neutral,Neutral,Neutral,Neutral
2026-04-23,AZN.ST,1798,2.48,-6.93,Neutral,Neutral,Neutral,Neutral
2026-04-23,INVE-B.ST,382.45,12.24,-2.94,Neutral,Neutral,Neutral,Neutral
2026-04-23,LUG.ST,708,7.22,-12.15,Neutral,Neutral,Neutral,Neutral
2026-04-23,LUMI.ST,251.5,20.57,-12.19,Neutral,Neutral,Neutral,Neutral
2026-04-23,NDA-SE.ST,170.5,10.26,-5.24,Neutral,Neutral,Neutral,Neutral
2026-04-23,SAAB-B.ST,562.6,0.5,-14.73,Neutral,Neutral,Neutral,Neutral
2026-04-23,SEB-A.ST,180.45,7.15,-4.67,Neutral,Neutral,Neutral,Neutral
2026-04-23,SHB-B.ST,221.8,8.05,-5.67,Neutral,Neutral,Neutral,Neutral
2026-04-23,SWED-A.ST,324.2,6.48,-5.57,Neutral,Neutral,Neutral,Neutral
2026-04-23,VOLV-B.ST,317,6.99,-5.22,Neutral,Neutral,Neutral,Neutral
