Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-08-06,ABB.ST,961,1011.14,900.11,994.02,24.34,49.25,57.81,69.44,1022.5,897.4,955.63,986.6,874.76
2026-08-06,AZN.ST,1540.5,1731.16,1506.14,1676.41,52.39,37.75,38.83,48.22,1737.5,1467,1618.65,1696.74,1745.89
2026-08-06,INVE-B.ST,425.35,425.36,383.69,407.1,5.81,76.51,73.36,81.76,425.65,387.4,404.53,395.02,371.34
2026-08-06,LUG.ST,586.8,584.39,504.63,514.13,23.07,59.47,47.21,56.62,588.4,508.4,544.51,547.55,660.34
2026-08-06,LUMI.ST,255.3,260.15,224.13,225.08,11.75,57.1,55.1,66.19,263.3,222.1,242.14,248.13,243.03
2026-08-06,NDA-SE.ST,192.15,195.71,184.56,186.52,2.74,57.38,68.11,74.49,195.4,180.55,190.13,184.14,176.43
2026-08-06,SAAB-B.ST,636.8,652.76,510.02,561.58,21.94,68.5,59.09,65.33,638.5,513.2,581.39,550.58,601.33
2026-08-06,SEB-A.ST,226,231.77,201.39,216.42,3.26,72.19,75.52,74.57,228,197.7,216.58,200.71,192
2026-08-06,SHB-B.ST,235.4,238.14,223.48,238.98,3.31,57.55,56.34,65.45,236.8,222,230.81,230.87,229.95
2026-08-06,SWED-A.ST,388.5,389.98,355.31,370.44,4.91,69.4,73.53,79.02,389.2,350.1,372.64,359.34,343.12
2026-08-06,VOLV-B.ST,365.4,377.78,326.89,346.74,7.51,69.36,69.74,66.83,374.5,332.5,352.33,335.57,326.75
