Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-04-01,ABB.ST,779.6,4.73,-4.3,Neutral,Neutral,Neutral,Neutral
2026-04-01,AZN.ST,1881,10.46,0.74,Neutral,Neutral,Neutral,Neutral
2026-04-01,INVE-B.ST,364.6,8.39,-0.28,Neutral,Neutral,Neutral,Neutral
2026-04-01,LUG.ST,727.5,16.48,-9.77,Neutral,Neutral,Neutral,Neutral
2026-04-01,LUMI.ST,236.2,17.29,-7.18,Neutral,Neutral,Neutral,Neutral
2026-04-01,NDA-SE.ST,164.65,6.11,-6.3,Neutral,Neutral,Neutral,Neutral
2026-04-01,SAAB-B.ST,651,10.1,-8.8,Neutral,Neutral,Neutral,Neutral
2026-04-01,SEB-A.ST,176.45,4.94,-7.93,Neutral,Neutral,Neutral,Neutral
2026-04-01,SHB-B.ST,216.8,6.45,-11.57,Neutral,Neutral,Neutral,Neutral
2026-04-01,SWED-A.ST,324.8,6.33,-7.06,Neutral,Neutral,Neutral,Neutral
2026-04-01,VOLV-B.ST,312.4,10.02,-8.78,Neutral,Neutral,Neutral,Neutral
