Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-08-17,ABB.ST,975.2,995.79,913.77,996.56,21.59,52.01,59.21,69.67,990.2,897.4,954.78,985.06,884.51
2026-08-17,AZN.ST,1487.5,1722.35,1428.3,1625.05,50.14,35.61,36.57,46.36,1699,1467,1575.33,1674.74,1737.42
2026-08-17,INVE-B.ST,410.95,430.05,393.35,407.07,4.87,52.75,64.66,80.19,426.8,389.8,411.7,399.25,374.32
2026-08-17,LUG.ST,628,651.9,503.6,564.58,24.87,62.09,51.62,58.8,646,511,577.75,556.36,657.01
2026-08-17,LUMI.ST,245.2,264.98,229.15,224.64,10.67,49.22,52.26,64.96,265.3,222.1,247.06,245.45,244.83
2026-08-17,NDA-SE.ST,191.75,194.55,188.27,185.94,2.37,56.36,67.67,74.47,195.4,185.4,191.41,185.66,176.97
2026-08-17,SAAB-B.ST,688.8,696.05,554.77,625.56,22.41,76.63,63.84,68.01,702.3,561.6,625.41,568.21,603.45
2026-08-17,SEB-A.ST,221.4,227.44,214.41,216.12,3.07,61.75,71.24,73.4,228,212.7,220.92,204.81,192.88
2026-08-17,SHB-B.ST,234.6,237.52,225.8,239.62,3.06,55.34,55.71,64.88,237.6,223.4,231.66,231.85,230.07
2026-08-17,SWED-A.ST,379.8,391.78,362.18,369.79,4.95,57.33,68.82,78,390.5,350.1,376.98,363.97,345.1
2026-08-17,VOLV-B.ST,340.5,375.63,334.43,359.58,6.5,40.41,55.65,60.35,374.5,336.4,355.03,338.67,328.74
