Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-08-03,ABB.ST,934,4.56,-10.08,Neutral,Neutral,Neutral,Neutral
2026-08-03,AZN.ST,1531.5,1.31,-16.43,High,High,High,High
2026-08-03,INVE-B.ST,415.1,7.19,0.63,Neutral,Neutral,Neutral,Neutral
2026-08-03,LUG.ST,535.6,5.1,-5.99,Neutral,Neutral,Neutral,Neutral
2026-08-03,LUMI.ST,235.8,7.33,-7.76,Neutral,Neutral,Neutral,Neutral
2026-08-03,NDA-SE.ST,193.15,5.22,-0.66,Neutral,Neutral,Neutral,Neutral
2026-08-03,SAAB-B.ST,608.5,18.38,-4.01,Neutral,Neutral,Neutral,Neutral
2026-08-03,SEB-A.ST,224.3,15.36,-1.89,Neutral,Neutral,Neutral,Neutral
2026-08-03,SHB-B.ST,232,4.28,-3.4,Neutral,Neutral,Neutral,Neutral
2026-08-03,SWED-A.ST,382.2,6.81,0.63,Neutral,Neutral,Neutral,Neutral
2026-08-03,VOLV-B.ST,371.1,14.73,0.38,Neutral,Neutral,Neutral,Neutral
