Date,Ticker,Close,Diff_BBLow_%,Diff_BBHigh_%,VsaDPrice,VsaWPrice,VsaDVol,VsaWVol
2026-03-25,ABB.ST,786.4,4.38,-5.93,Neutral,Neutral,Neutral,Neutral
2026-03-25,AZN.ST,1743.5,2.45,-7.42,Neutral,Neutral,Neutral,Neutral
2026-03-25,INVE-B.ST,347.5,4.21,-7.74,Neutral,Neutral,Neutral,Neutral
2026-03-25,LUG.ST,680,8.02,-21.26,Neutral,Neutral,Neutral,Neutral
2026-03-25,LUMI.ST,224.2,16.19,-22.75,Neutral,Neutral,Neutral,Neutral
2026-03-25,NDA-SE.ST,155.45,-2.86,-12.49,Neutral,Neutral,Neutral,High
2026-03-25,SAAB-B.ST,632.1,1.96,-10.12,Neutral,Neutral,Neutral,Neutral
2026-03-25,SEB-A.ST,170.6,-1.69,-12.45,Neutral,Neutral,Neutral,Neutral
2026-03-25,SHB-B.ST,226.2,3.08,-7.29,Neutral,Neutral,Neutral,Neutral
2026-03-25,SWED-A.ST,304.9,-3.69,-13.56,Neutral,Neutral,Neutral,Neutral
2026-03-25,VOLV-B.ST,303,5.7,-15.78,Neutral,Neutral,Neutral,Neutral
