Date,Ticker,Close,BBHigh,BBLow,Supertrend,ATR,RsiD,RsiW,RsiM,SwingHigh,SwingLow,Sma20,Sma50,Sma150
2026-06-09,ABB.ST,982.2,1022.32,951.84,948.32,21.15,54.48,75.33,76.43,1022.5,939.8,987.08,914.79,790.63
2026-06-09,AZN.ST,1708,1785.99,1660.96,1629.52,34.46,45.96,48.19,55.19,1775.5,1601.5,1723.47,1768.54,1740.55
2026-06-09,INVE-B.ST,381.8,390.44,363.18,365.31,5.4,57.12,63.41,75.39,387.85,358,376.81,372.37,349.56
2026-06-09,LUG.ST,530.6,637.79,529.38,612.06,23.46,34.65,37.67,53.1,668.4,528,583.58,653.69,714.21
2026-06-09,LUMI.ST,260.5,292.58,245.7,257.92,10.56,47.51,57.58,68.72,295.9,250.5,269.14,255.54,224.37
2026-06-09,NDA-SE.ST,175.2,181.84,168.45,171.78,2.4,52.68,56.01,67.27,181.8,167.5,175.15,171.43,170.92
2026-06-09,SAAB-B.ST,536.2,571.05,482.44,514.65,19.37,47.53,45.47,59.68,585,475.9,526.75,566.07,587.37
2026-06-09,SEB-A.ST,183.4,189.28,177.17,179.57,2.76,51.11,49.77,59.99,190.9,177.5,183.22,181.04,186.87
2026-06-09,SHB-B.ST,224.4,234.21,214.93,219.38,3.61,50.33,51.15,62.71,233.8,213,224.57,221.73,226.21
2026-06-09,SWED-A.ST,336.3,350.11,320.41,329.61,4.93,53.49,57.24,69.05,349.8,318.5,335.26,328.65,325.46
2026-06-09,VOLV-B.ST,323,330.44,309.43,306.4,7.12,51.88,54.47,59.44,332.4,307.9,319.94,318.78,310.31
